Page,Edits,Editors,Views,Mobile %
"Pelé",?,?,39552,NaN
"Seleção Brasileira de Voleibol Feminino",?,?,39518,NaN
"Sergio Ramos",?,?,39500,NaN
"Jörmungandr",?,?,39391,NaN
"Campeonato Brasileiro de Futebol",?,?,39252,NaN
"Omar Aziz",?,?,39092,NaN
"Bélgica",?,?,38934,NaN
"Romelu Lukaku",?,?,38789,NaN
"Zé Vaqueiro",?,?,38591,NaN
"Europa",?,?,38546,NaN
"Rosa dos ventos",?,?,38272,NaN
"Naruto",?,?,38194,NaN
"R. R. Soares",?,?,38183,NaN
"Israel",?,?,38085,NaN
"São Paulo (estado)",?,?,38047,NaN
"Marco Maciel",?,?,37638,NaN
"Assassino em série",?,?,37487,NaN
"China",?,?,37461,NaN
"Acidente nuclear de Chernobil",?,?,37276,NaN
"Nascimento de João Batista",?,?,37201,NaN
"Leonardo da Vinci",?,?,36850,NaN
"Lista de códigos telefónicos",?,?,36800,NaN
"Espanha",?,?,36743,NaN
"Stephen Hawking",?,?,36738,NaN
"Robert Downey Jr.",?,?,36713,NaN
"América Latina",?,?,36646,NaN
"Jesus",?,?,36540,NaN
"Vincent van Gogh",?,?,36381,NaN
"Doutrina católica sobre os Dez Mandamentos",?,?,36321,NaN
"Suíça",?,?,36137,NaN
"Lampião (cangaceiro)",?,?,35993,NaN
"Christiane Torloni",?,?,35957,NaN
"Nelson Mandela",?,?,35934,NaN
"Dercy Gonçalves",?,?,35900,NaN
"Pedro (apóstolo)",?,?,35827,NaN
"Santos Futebol Clube",?,?,35707,NaN
"Peaky Blinders (série de televisão)",?,?,35697,NaN
"Itália",?,?,35636,NaN
"União Europeia",?,?,35560,NaN
"Homossexualidade na Bíblia",?,?,35550,NaN
"Kylian Mbappé",?,?,35534,NaN
"Sociedade Esportiva Palmeiras",?,?,35480,NaN
"Copa Libertadores da América",?,?,35478,NaN
"Pecado capital",?,?,35405,NaN
"Floyd Mayweather Jr.",?,?,35157,NaN
"Sport Club Corinthians Paulista",?,?,35070,NaN
"Socialismo",?,?,34817,NaN
"Dataprev",?,?,34698,NaN
"Renato Sanches",?,?,34684,NaN
"Copa das Confederações FIFA",?,?,34656,NaN
"BDSM",?,?,34524,NaN
"Copa América de 2019",?,?,34515,NaN
"Leandra Leal",?,?,34422,NaN
"Futebol",?,?,34416,NaN
"Pablo Escobar",?,?,34414,NaN
"Ali Daei",?,?,34208,NaN
"Mês",?,?,34093,NaN
"LeBron James",?,?,33971,NaN
"Ballon d'Or",?,?,33945,NaN
"Lista de mesorregiões e microrregiões de São Paulo",?,?,33943,NaN
"Revolução Francesa",?,?,33923,NaN
"Sport Club Internacional",?,?,33907,NaN
"Bíblia",?,?,33883,NaN
"Paulo de Tarso",?,?,33673,NaN
"Gripe espanhola",?,?,33477,NaN
"Seleção Italiana de Futebol",?,?,33434,NaN
"Cristianismo",?,?,33227,NaN
"Lista de episódios de One Piece",?,?,33199,NaN
"Japão",?,?,33135,NaN
"Luis Miranda (político)",?,?,32962,NaN
"Boku no Hero Academia",?,?,32917,NaN
"Michael Jordan",?,?,32818,NaN
"Gilberto Gil",?,?,32806,NaN
"Torneio de Roland Garros",?,?,32688,NaN
"Trae Young",?,?,32666,NaN
"Lista de demônios",?,?,32490,NaN
"Lúcifer",?,?,32355,NaN
"Red Bull Bragantino",?,?,32303,NaN
"Kevin Durant",?,?,32287,NaN
"Sasaki Kojirō",?,?,32281,NaN
"Gato",?,?,32266,NaN
"Brasília",?,?,32150,NaN
"John McAfee",?,?,31989,NaN
"Pabllo Vittar",?,?,31906,NaN
"Fascismo",?,?,31886,NaN
"Copa do Mundo FIFA de 2014",?,?,31855,NaN
"Ti Ti Ti (2010)",?,?,31748,NaN
"Google",?,?,31715,NaN
"Luís de Camões",?,?,31655,NaN
"A Gata Comeu",?,?,31625,NaN
"Wikipédia",?,?,31560,NaN
"Max Verstappen",?,?,31509,NaN
"Ditadura militar brasileira",?,?,31480,NaN
"Cruella (filme)",?,?,31478,NaN
"Holocausto",?,?,31468,NaN
"Revolução Russa de 1917",?,?,31443,NaN
"Povos indígenas do Brasil",?,?,31415,NaN
"Sagrado Coração de Jesus",?,?,31372,NaN
"Sodoma e Gomorra",?,?,31364,NaN
"Copa do Mundo FIFA de 2026",?,?,31264,NaN
